No,Vendor,Description,价格（RMB）
1,享德来,雞腿飯,27
2,享德来,香腸飯,27
3,享德来,香酥排骨飯,26
4,享德来,紅燒排骨,27
5,享德来,香辣牛肉,30
6,享德来,酸甜糖醋里脊饭,27
7,享德来,咖喱牛肉饭,30
8,享德来,梅菜扣肉饭 ,29
9,享德来,魚香肉絲,23
10,享德来,全素,18
11,享德来,肉沫茄子便当,18
12,享德来,把子肉便当,26
13,享德来,鸡杂便当,26
14,享德来,毛豆鸡丁,23
15,享德来,藤椒腿排,25
16,享德来,咕咾肉便当,26
17,享德来,雞排飯,20
18,享德来,單點藤椒腿排,12
19,享德来,單點原味大鸡排,10
20,谷田稻香,黑胡椒牛肉套餐,37
21,谷田稻香,梅菜扣肉套餐,30
22,谷田稻香,台式滷肉套餐,30
23,谷田稻香,肉末茄子套餐,24
24,谷田稻香,金湯酸菜魚套餐,34
25,谷田稻香,浓香猪脚煲套餐,37
26,谷田稻香,單點西藍花,10
27,谷田稻香,招牌牛腩套餐,39
28,可乐,可乐,3
29,筑地屋,盐烤青花鱼便当,48
30,筑地屋,黑胡椒牛排便当,50
31,筑地屋,盐烤三文鱼便当,50
32,筑地屋,照燒雞排便當,42
33,必胜客,新奥尔良风情烤肉PIZZA,69
34,达美乐披萨,夏威夷风情pizza,89
35,达美乐披萨,黑松露风味菌菇鸡肉pizza,88
36,达美乐披萨,日式照烧鸡腿肉蛋炒饭,27
37,达美乐披萨,咖喱牛腩焗饭,29
38,达美乐披萨,香溢双肠荟萃炒饭,27
39,达美乐披萨,黑松露风味菌菇鸡肉pizza,59
40,麦当劳,板烧鸡腿堡,43.5
41,麦当劳,麦辣鸡腿堡,42.5
42,木桑森林,香煎雞胸肉烤蔬套餐,20
43,木桑森林,滷牛肉+雞胸肉烤蔬套餐,28
44,木桑森林,藤椒雞腿肉烤蔬套餐,22
45,木桑森林,香滷牛肉烤蔬套餐,30
46,木桑森林,豪華三拼牛肉雞胸蝦仁烤蔬套餐,32
